feature_set,model,level,accuracy,precision,recall,f1,auc
basic,Logistic Regression,cell,0.7137870855148342,0.7701746106654083,0.9061632426429761,0.8326530612244898,0.13604684430803887
basic,Logistic Regression,patient,0.5,0.6,0.75,0.6666666666666666,0.13604684430803887
basic,Decision Tree,cell,0.68760907504363,0.7652811735941321,0.8689616879511383,0.8138325533021321,0.09688778920061382
basic,Decision Tree,patient,0.5,0.6,0.75,0.6666666666666666,0.09688778920061382
basic,Random Forest,cell,0.7421465968586387,0.776508226691042,0.943364797334814,0.8518425670594134,0.07646804049798087
basic,Random Forest,patient,0.5,0.6,0.75,0.6666666666666666,0.07646804049798087
basic,XGBoost,cell,0.7286212914485166,0.7735498839907192,0.9255968906163242,0.8427704752275025,0.06338863564143477
basic,XGBoost,patient,0.5,0.6,0.75,0.6666666666666666,0.06338863564143477
gene_enhanced,Logistic Regression,cell,0.48647469458987785,0.6945137157107232,0.6185452526374237,0.6543318649045521,0.13150874542430036
gene_enhanced,Logistic Regression,patient,0.3333333333333333,0.5,0.5,0.5,0.13150874542430036
gene_enhanced,Decision Tree,cell,0.525305410122164,0.7118241235888295,0.6651860077734592,0.687715269804822,0.12884559494555523
gene_enhanced,Decision Tree,patient,0.3333333333333333,0.5,0.5,0.5,0.12884559494555523
gene_enhanced,Random Forest,cell,0.5239965095986039,0.7098108747044918,0.6668517490283176,0.6876610363584311,0.025289186478206837
gene_enhanced,Random Forest,patient,0.3333333333333333,0.5,0.5,0.5,0.025289186478206837
gene_enhanced,XGBoost,cell,0.5344677137870855,0.7141190198366394,0.679622431982232,0.6964438122332859,0.03958199280553573
gene_enhanced,XGBoost,patient,0.3333333333333333,0.5,0.5,0.5,0.03958199280553573
tcr_enhanced,Logistic Regression,cell,0.5894415357766143,0.7404921700223713,0.7351471404775125,0.737809974923377,0.30562450596014207
tcr_enhanced,Logistic Regression,patient,0.5,0.6,0.75,0.6666666666666666,0.30562450596014207
tcr_enhanced,Decision Tree,cell,0.6025305410122164,0.7429039301310044,0.7556912826207662,0.7492430498210845,0.2970289192132454
tcr_enhanced,Decision Tree,patient,0.5,0.6,0.75,0.6666666666666666,0.2970289192132454
tcr_enhanced,Random Forest,cell,0.7735602094240838,0.7831272084805654,0.9844530816213215,0.8723247232472324,0.051425379202095244
tcr_enhanced,Random Forest,patient,0.6666666666666666,0.6666666666666666,1.0,0.8,0.051425379202095244
tcr_enhanced,XGBoost,cell,0.7277486910994765,0.7741034000931533,0.9228206551915602,0.8419452887537994,0.03497717380364608
tcr_enhanced,XGBoost,patient,0.5,0.6,0.75,0.6666666666666666,0.03497717380364608
comprehensive,Logistic Regression,cell,0.6640488656195462,0.7576211894052973,0.8417545807884509,0.7974750131509731,0.16850222381546345
comprehensive,Logistic Regression,patient,0.5,0.6,0.75,0.6666666666666666,0.16850222381546345
comprehensive,Decision Tree,cell,0.6889179755671903,0.7666666666666667,0.8684064408661855,0.8143712574850299,0.10857568379639733
comprehensive,Decision Tree,patient,0.5,0.6,0.75,0.6666666666666666,0.10857568379639733
comprehensive,Random Forest,cell,0.7648342059336823,0.7814451382694023,0.9727928928373126,0.8666831560722236,0.06540550565368188
comprehensive,Random Forest,patient,0.6666666666666666,0.6666666666666666,1.0,0.8,0.06540550565368188
comprehensive,XGBoost,cell,0.7120418848167539,0.7702510658455708,0.9028317601332593,0.8312883435582822,0.07084941495503176
comprehensive,XGBoost,patient,0.5,0.6,0.75,0.6666666666666666,0.07084941495503176
