model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
MLP,1,PT1,cell_fold,roc_auc,,,,
MLP,1,PT1,cell_fold,accuracy,0.999552121822864,,,
MLP,1,PT1,cell_fold,precision,1.0,,,
MLP,1,PT1,cell_fold,recall,0.999552121822864,,,
MLP,1,PT1,cell_fold,specificity,,,,
MLP,1,PT1,cell_fold,f1,0.999776010751484,,,
MLP,1,PT1,cell_fold,brier,0.0003300582571234,,,
MLP,1,PT1,cell_fold,log_loss,0.0013081382360514,,,
MLP,1,PT1,patient_fold,roc_auc,,1.0,,
MLP,1,PT1,patient_fold,accuracy,1.0,1.0,,
MLP,1,PT1,patient_fold,precision,1.0,1.0,,
MLP,1,PT1,patient_fold,recall,1.0,1.0,,
MLP,1,PT1,patient_fold,specificity,,1.0,,
MLP,1,PT1,patient_fold,f1,1.0,1.0,,
MLP,1,PT1,patient_fold,brier,2.293675471776169e-07,1.0,,
MLP,1,PT1,patient_fold,log_loss,0.0004790380411734,1.0,,
CNN,1,PT1,cell_fold,roc_auc,,,,
CNN,1,PT1,cell_fold,accuracy,0.9984324263800246,,,
CNN,1,PT1,cell_fold,precision,1.0,,,
CNN,1,PT1,cell_fold,recall,0.9984324263800246,,,
CNN,1,PT1,cell_fold,specificity,,,,
CNN,1,PT1,cell_fold,f1,0.999215598386374,,,
CNN,1,PT1,cell_fold,brier,0.0019016139317941,,,
CNN,1,PT1,cell_fold,log_loss,0.0131356446334048,,,
CNN,1,PT1,patient_fold,roc_auc,,1.0,,
CNN,1,PT1,patient_fold,accuracy,1.0,1.0,,
CNN,1,PT1,patient_fold,precision,1.0,1.0,,
CNN,1,PT1,patient_fold,recall,1.0,1.0,,
CNN,1,PT1,patient_fold,specificity,,1.0,,
CNN,1,PT1,patient_fold,f1,1.0,1.0,,
CNN,1,PT1,patient_fold,brier,0.0001319828301724,1.0,,
CNN,1,PT1,patient_fold,log_loss,0.0115548792811904,1.0,,
BiLSTM,1,PT1,cell_fold,roc_auc,,,,
BiLSTM,1,PT1,cell_fold,accuracy,0.9977606091143209,,,
BiLSTM,1,PT1,cell_fold,precision,1.0,,,
BiLSTM,1,PT1,cell_fold,recall,0.9977606091143209,,,
BiLSTM,1,PT1,cell_fold,specificity,,,,
BiLSTM,1,PT1,cell_fold,f1,0.99887904943392,,,
BiLSTM,1,PT1,cell_fold,brier,0.0019870524155428,,,
BiLSTM,1,PT1,cell_fold,log_loss,0.0118255234799851,,,
BiLSTM,1,PT1,patient_fold,roc_auc,,1.0,,
BiLSTM,1,PT1,patient_fold,accuracy,1.0,1.0,,
BiLSTM,1,PT1,patient_fold,precision,1.0,1.0,,
BiLSTM,1,PT1,patient_fold,recall,1.0,1.0,,
BiLSTM,1,PT1,patient_fold,specificity,,1.0,,
BiLSTM,1,PT1,patient_fold,f1,1.0,1.0,,
BiLSTM,1,PT1,patient_fold,brier,9.402641813949232e-05,1.0,,
BiLSTM,1,PT1,patient_fold,log_loss,0.00974404138325,1.0,,
Transformer,1,PT1,cell_fold,roc_auc,,,,
Transformer,1,PT1,cell_fold,accuracy,0.9586832381592209,,,
Transformer,1,PT1,cell_fold,precision,1.0,,,
Transformer,1,PT1,cell_fold,recall,0.9586832381592209,,,
Transformer,1,PT1,cell_fold,specificity,,,,
Transformer,1,PT1,cell_fold,f1,0.9789058480535072,,,
Transformer,1,PT1,cell_fold,brier,0.0331044032622913,,,
Transformer,1,PT1,cell_fold,log_loss,0.1354953972304786,,,
Transformer,1,PT1,patient_fold,roc_auc,,1.0,,
Transformer,1,PT1,patient_fold,accuracy,1.0,1.0,,
Transformer,1,PT1,patient_fold,precision,1.0,1.0,,
Transformer,1,PT1,patient_fold,recall,1.0,1.0,,
Transformer,1,PT1,patient_fold,specificity,,1.0,,
Transformer,1,PT1,patient_fold,f1,1.0,1.0,,
Transformer,1,PT1,patient_fold,brier,0.0020074177204065,1.0,,
Transformer,1,PT1,patient_fold,log_loss,0.0458389494934173,1.0,,
XGBoost,1,PT1,cell_fold,roc_auc,,,,
XGBoost,1,PT1,cell_fold,accuracy,0.0,,,
XGBoost,1,PT1,cell_fold,precision,0.0,,,
XGBoost,1,PT1,cell_fold,recall,0.0,,,
XGBoost,1,PT1,cell_fold,specificity,,,,
XGBoost,1,PT1,cell_fold,f1,0.0,,,
XGBoost,1,PT1,cell_fold,brier,0.4108362002180561,,,
XGBoost,1,PT1,cell_fold,log_loss,1.0246071105738968,,,
XGBoost,1,PT1,patient_fold,roc_auc,,1.0,,
XGBoost,1,PT1,patient_fold,accuracy,0.0,1.0,,
XGBoost,1,PT1,patient_fold,precision,0.0,1.0,,
XGBoost,1,PT1,patient_fold,recall,0.0,1.0,,
XGBoost,1,PT1,patient_fold,specificity,,1.0,,
XGBoost,1,PT1,patient_fold,f1,0.0,1.0,,
XGBoost,1,PT1,patient_fold,brier,0.4106932012920561,1.0,,
XGBoost,1,PT1,patient_fold,log_loss,1.0240248801640863,1.0,,
MLP,2,PT2,cell_fold,roc_auc,,,,
MLP,2,PT2,cell_fold,accuracy,1.0,,,
MLP,2,PT2,cell_fold,precision,1.0,,,
MLP,2,PT2,cell_fold,recall,1.0,,,
MLP,2,PT2,cell_fold,specificity,,,,
MLP,2,PT2,cell_fold,f1,1.0,,,
MLP,2,PT2,cell_fold,brier,9.81671648597558e-06,,,
MLP,2,PT2,cell_fold,log_loss,0.0001259834045477,,,
MLP,2,PT2,patient_fold,roc_auc,,1.0,,
MLP,2,PT2,patient_fold,accuracy,1.0,1.0,,
MLP,2,PT2,patient_fold,precision,1.0,1.0,,
MLP,2,PT2,patient_fold,recall,1.0,1.0,,
MLP,2,PT2,patient_fold,specificity,,1.0,,
MLP,2,PT2,patient_fold,f1,1.0,1.0,,
MLP,2,PT2,patient_fold,brier,1.4424816896507764e-08,1.0,,
MLP,2,PT2,patient_fold,log_loss,0.0001201105722084,1.0,,
CNN,2,PT2,cell_fold,roc_auc,,,,
CNN,2,PT2,cell_fold,accuracy,0.9922045167946808,,,
CNN,2,PT2,cell_fold,precision,1.0,,,
CNN,2,PT2,cell_fold,recall,0.9922045167946808,,,
CNN,2,PT2,cell_fold,specificity,,,,
CNN,2,PT2,cell_fold,f1,0.9960870065600184,,,
CNN,2,PT2,cell_fold,brier,0.0159357899839726,,,
CNN,2,PT2,cell_fold,log_loss,0.1051514896325168,,,
CNN,2,PT2,patient_fold,roc_auc,,1.0,,
CNN,2,PT2,patient_fold,accuracy,1.0,1.0,,
CNN,2,PT2,patient_fold,precision,1.0,1.0,,
CNN,2,PT2,patient_fold,recall,1.0,1.0,,
CNN,2,PT2,patient_fold,specificity,,1.0,,
CNN,2,PT2,patient_fold,f1,1.0,1.0,,
CNN,2,PT2,patient_fold,brier,0.0089645415575887,1.0,,
CNN,2,PT2,patient_fold,log_loss,0.0994682016752354,1.0,,
BiLSTM,2,PT2,cell_fold,roc_auc,,,,
BiLSTM,2,PT2,cell_fold,accuracy,0.997248652986358,,,
BiLSTM,2,PT2,cell_fold,precision,1.0,,,
BiLSTM,2,PT2,cell_fold,recall,0.997248652986358,,,
BiLSTM,2,PT2,cell_fold,specificity,,,,
BiLSTM,2,PT2,cell_fold,f1,0.998622431408564,,,
BiLSTM,2,PT2,cell_fold,brier,0.0031060931319143,,,
BiLSTM,2,PT2,cell_fold,log_loss,0.0163096214710757,,,
BiLSTM,2,PT2,patient_fold,roc_auc,,1.0,,
BiLSTM,2,PT2,patient_fold,accuracy,1.0,1.0,,
BiLSTM,2,PT2,patient_fold,precision,1.0,1.0,,
BiLSTM,2,PT2,patient_fold,recall,1.0,1.0,,
BiLSTM,2,PT2,patient_fold,specificity,,1.0,,
BiLSTM,2,PT2,patient_fold,f1,1.0,1.0,,
BiLSTM,2,PT2,patient_fold,brier,0.0001919059834598,1.0,,
BiLSTM,2,PT2,patient_fold,log_loss,0.013949861976134,1.0,,
Transformer,2,PT2,cell_fold,roc_auc,,,,
Transformer,2,PT2,cell_fold,accuracy,0.989682448698842,,,
Transformer,2,PT2,cell_fold,precision,1.0,,,
Transformer,2,PT2,cell_fold,recall,0.989682448698842,,,
Transformer,2,PT2,cell_fold,specificity,,,,
Transformer,2,PT2,cell_fold,f1,0.9948144733809634,,,
Transformer,2,PT2,cell_fold,brier,0.008037012364453,,,
Transformer,2,PT2,cell_fold,log_loss,0.0324971447670993,,,
Transformer,2,PT2,patient_fold,roc_auc,,1.0,,
Transformer,2,PT2,patient_fold,accuracy,1.0,1.0,,
Transformer,2,PT2,patient_fold,precision,1.0,1.0,,
Transformer,2,PT2,patient_fold,recall,1.0,1.0,,
Transformer,2,PT2,patient_fold,specificity,,1.0,,
Transformer,2,PT2,patient_fold,f1,1.0,1.0,,
Transformer,2,PT2,patient_fold,brier,0.0001343931367081,1.0,,
Transformer,2,PT2,patient_fold,log_loss,0.0116605258427674,1.0,,
XGBoost,2,PT2,cell_fold,roc_auc,,,,
XGBoost,2,PT2,cell_fold,accuracy,0.0,,,
XGBoost,2,PT2,cell_fold,precision,0.0,,,
XGBoost,2,PT2,cell_fold,recall,0.0,,,
XGBoost,2,PT2,cell_fold,specificity,,,,
XGBoost,2,PT2,cell_fold,f1,0.0,,,
XGBoost,2,PT2,cell_fold,brier,0.4320117072991718,,,
XGBoost,2,PT2,cell_fold,log_loss,1.0708569265545569,,,
XGBoost,2,PT2,patient_fold,roc_auc,,1.0,,
XGBoost,2,PT2,patient_fold,accuracy,0.0,1.0,,
XGBoost,2,PT2,patient_fold,precision,0.0,1.0,,
XGBoost,2,PT2,patient_fold,recall,0.0,1.0,,
XGBoost,2,PT2,patient_fold,specificity,,1.0,,
XGBoost,2,PT2,patient_fold,f1,0.0,1.0,,
XGBoost,2,PT2,patient_fold,brier,0.431998700417413,1.0,,
XGBoost,2,PT2,patient_fold,log_loss,1.0708008774083042,1.0,,
MLP,3,PT3,cell_fold,roc_auc,,,,
MLP,3,PT3,cell_fold,accuracy,0.998749759569148,,,
MLP,3,PT3,cell_fold,precision,0.0,,,
MLP,3,PT3,cell_fold,recall,0.0,,,
MLP,3,PT3,cell_fold,specificity,0.998749759569148,,,
MLP,3,PT3,cell_fold,f1,0.0,,,
MLP,3,PT3,cell_fold,brier,0.0009443782115937,,,
MLP,3,PT3,cell_fold,log_loss,0.0038380951938053,,,
MLP,3,PT3,patient_fold,roc_auc,,1.0,,
MLP,3,PT3,patient_fold,accuracy,1.0,1.0,,
MLP,3,PT3,patient_fold,precision,0.0,1.0,,
MLP,3,PT3,patient_fold,recall,0.0,1.0,,
MLP,3,PT3,patient_fold,specificity,1.0,1.0,,
MLP,3,PT3,patient_fold,f1,0.0,1.0,,
MLP,3,PT3,patient_fold,brier,5.055657006450504e-06,1.0,,
MLP,3,PT3,patient_fold,log_loss,0.0022510104446313,1.0,,
CNN,3,PT3,cell_fold,roc_auc,,,,
CNN,3,PT3,cell_fold,accuracy,0.9782650509713406,,,
CNN,3,PT3,cell_fold,precision,0.0,,,
CNN,3,PT3,cell_fold,recall,0.0,,,
CNN,3,PT3,cell_fold,specificity,0.9782650509713406,,,
CNN,3,PT3,cell_fold,f1,0.0,,,
CNN,3,PT3,cell_fold,brier,0.0198006245989502,,,
CNN,3,PT3,cell_fold,log_loss,0.0812433913249511,,,
CNN,3,PT3,patient_fold,roc_auc,,1.0,,
CNN,3,PT3,patient_fold,accuracy,1.0,1.0,,
CNN,3,PT3,patient_fold,precision,0.0,1.0,,
CNN,3,PT3,patient_fold,recall,0.0,1.0,,
CNN,3,PT3,patient_fold,specificity,1.0,1.0,,
