sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
gene_only_baseline,Transformer,1,PT1,cell_fold,roc_auc,,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,accuracy,0.9972007613929011,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,precision,1.0,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,recall,0.9972007613929011,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,specificity,,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,f1,0.9985984190166508,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,brier,0.0024894973477191,,,
gene_only_baseline,Transformer,1,PT1,cell_fold,log_loss,0.0090050732214959,,,
gene_only_baseline,Transformer,1,PT1,patient_fold,roc_auc,,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,accuracy,1.0,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,precision,1.0,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,recall,1.0,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,specificity,,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,f1,1.0,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,brier,1.98541966369703e-05,1.0,,
gene_only_baseline,Transformer,1,PT1,patient_fold,log_loss,0.0044657615108558,1.0,,
gene_only_baseline,Transformer,2,PT2,cell_fold,roc_auc,,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,accuracy,0.9997707210821964,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,precision,1.0,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,recall,0.9997707210821964,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,specificity,,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,f1,0.999885347397386,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,brier,0.0002689299119124,,,
gene_only_baseline,Transformer,2,PT2,cell_fold,log_loss,0.0010484150350995,,,
gene_only_baseline,Transformer,2,PT2,patient_fold,roc_auc,,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,accuracy,1.0,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,precision,1.0,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,recall,1.0,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,specificity,,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,f1,1.0,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,brier,2.692759295541691e-07,1.0,,
gene_only_baseline,Transformer,2,PT2,patient_fold,log_loss,0.0005190527219748,1.0,,
gene_only_baseline,Transformer,3,PT3,cell_fold,roc_auc,,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,accuracy,0.9912483169840354,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,precision,0.0,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,recall,0.0,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,specificity,0.9912483169840354,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,f1,0.0,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,brier,0.0068692913756524,,,
gene_only_baseline,Transformer,3,PT3,cell_fold,log_loss,0.0247713268574508,,,
gene_only_baseline,Transformer,3,PT3,patient_fold,roc_auc,,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,accuracy,1.0,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,precision,0.0,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,recall,0.0,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,specificity,1.0,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,f1,0.0,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,brier,0.0001162134828786,1.0,,
gene_only_baseline,Transformer,3,PT3,patient_fold,log_loss,0.0108387635025931,1.0,,
gene_only_baseline,Transformer,4,PT4,cell_fold,roc_auc,,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,accuracy,0.9986062717770036,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,precision,0.0,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,recall,0.0,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,specificity,0.9986062717770036,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,f1,0.0,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,brier,0.001005841998702,,,
gene_only_baseline,Transformer,4,PT4,cell_fold,log_loss,0.003961390957179,,,
